H,dS,dX,VEC,sigma,dHmix,dSmix
5.0,8.2,0.0516599457994295,3.0,0.7285100685803332,0.0,11.52634446553133
5.0,7.8,0.1447907171116943,3.297,9.711483186344838,0.3996,13.437612837999255
5.0,7.5,0.0522306697207684,3.0036,0.8159965620037698,0.0079936,11.62711504667778
5.0,7.4,0.052559134821456,3.0066,0.8714375645457357,0.0119904,11.668672686788016
5.0,8.6,0.0529118929194561,3.0096,0.9340683886638392,0.0159872,11.70740507581538
5.0,8.2,0.0532885657012833,3.0126,1.0025138147958912,0.019984,11.744036627329937
5.0,6.82,0.0568410450833268,2.9991000000000003,0.5298347917921815,0.0,11.52445011068683
5.0,6.7,0.0557192460017182,3.0000000000000004,0.5272245091155157,0.0,11.519986451382737
5.0,5.1,0.2534087607009671,4.0,13.965481495986678,-21.440000000000005,13.38167152293333
5.0,10.2,0.2697702726395182,4.2,13.748515325838328,-32.32,13.38167152293333
5.0,9.5,0.2798142240844807,4.4,13.856726517558752,-37.28000000000001,13.38167152293333
5.0,8.64,0.0570173946791678,3.0,0.9643406874906084,0.0,11.426701444838606
5.0,5.92,0.0619653397452962,2.9925,2.489627217050669,0.163296,13.362838946176534
5.0,5.85,0.059222803243683,3.0003,2.259946937318165,0.11537568,14.894259767174855
5.0,6.92,0.0555442494233201,3.0,3.04188408733199,0.0,13.377454614694951
5.0,8.6,0.050754310161798,3.0000000000000004,0.8553072992371988,0.0,13.38167152293333
3.0,4.8,0.0553962995154008,3.0,0.9547198737507364,0.0,11.52634446553133
3.0,0.65,0.056734028589551,3.0,0.5262462752447677,0.0,11.52634446553133
3.0,3.0,0.0637735832378892,3.0,0.5812389388448725,0.0,9.13441179098877
5.0,10.64,0.3218136106506373,5.1000000000000005,13.861516388537378,-29.68,19.144843755699
1.0,2.62,0.3218136106506373,5.1000000000000005,13.861516388537378,-29.68,19.144843755699
2.0,4.97,0.3218136106506373,5.1000000000000005,13.861516388537378,-29.68,19.144843755699
3.0,6.91,0.3218136106506373,5.1000000000000005,13.861516388537378,-29.68,19.144843755699
4.0,8.97,0.3218136106506373,5.1000000000000005,13.861516388537378,-29.68,19.144843755699
5.0,11.2,0.2697702726395182,4.2,13.748515325838326,-32.32,13.38167152293333
5.0,12.6,0.2664282267328294,4.2,13.50139359386404,-32.32,13.38167152293333
5.0,15.0,0.2617938119971517,4.2,12.633605799302918,-32.480000000000004,13.38167152293333
5.0,6.02,0.2841104538731371,4.5,15.191649999280337,-35.25,11.52634446553133
5.0,6.76,0.2841104538731371,4.5,15.054971297496085,-35.35,12.925283341868443
5.0,7.35,0.2832185551830953,4.5,15.019012639915582,-35.25,12.925283341868443
5.0,6.96,0.2823557153662733,4.5,14.976036716065696,-35.45,12.925283341868443
5.0,8.63,0.281959199176051,4.5,14.765019424089948,-35.25,11.875437369615277
5.0,8.79,0.2823202968261403,4.5,14.839097582358765,-35.25,12.566493453158396
5.0,7.61,0.2827702247408662,4.5,14.929985185178626,-35.25,12.925283341868443
5.0,7.35,0.2832185551830953,4.5,15.019012639915582,-35.25,12.925283341868443
2.0,4.1,0.2712931993250107,4.200000000000001,13.8107620480647,-32.64000000000001,13.38167152293333
5.0,9.1,0.2712931993250107,4.200000000000001,13.8107620480647,-32.64000000000001,12.748
2.0,4.6,4.220000000000001,13.91083452088716,-33.59200000000001,13.601935821654148,12.748
5.0,9.4,0.2734054704097926,4.220000000000001,13.91083452088716,-33.59200000000001,13.601935821654148
2.0,4.1,0.2756719245770233,4.240000000000001,14.024940489261803,-34.704000000000015,13.76456839804731
5.0,9.2,0.2756719245770233,4.240000000000001,14.024940489261803,-34.704000000000015,13.76456839804731
2.0,4.0,0.2862971707858811,4.320000000000001,14.610989001347594,-39.15200000000001,14.25632979205134
5.0,9.0,0.2862971707858811,4.320000000000001,14.610989001347594,-39.15200000000001,14.25632979205134
0.5,0.74,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
0.5,1.03,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
0.5,1.07,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
0.5,1.16,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
2.0,2.9,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
2.0,3.95,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
2.0,3.67,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
2.0,3.82,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
5.0,5.94,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
5.0,7.65,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
5.0,7.28,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
5.0,7.52,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
1.0,0.15,0.0956943551104243,8.82,2.2751826435065023,0.1259999999999992,13.223843770338751
2.0,0.3,0.0956943551104243,8.82,2.2751826435065023,0.1259999999999992,13.223843770338751
5.0,0.75,0.0956943551104243,8.82,2.2751826435065023,0.1259999999999992,13.223843770338751
5.0,44.9,0.1557981914065239,7.2330999999999985,4.3886764862182055,-27.86637736,14.653717413779663
5.0,29.2,0.1542480377931592,7.214799999999999,4.309451003905262,-27.58254928,14.675001388891522
5.0,1.9,0.1518239143086489,7.1886,4.188898706518099,-27.157675280000003,14.681092520141478
5.0,2.4,0.1501257899244189,7.1693,4.106317451531512,-27.19792664,14.664522619844703
5.0,55.3,0.1550058877726987,7.271,4.465178585544848,-28.02061144,14.683132583658796
5.0,48.5,0.1554121224486686,7.252,4.426716927400428,-27.94306186,14.670744624561468
5.0,44.9,0.1557981914065239,7.2330999999999985,4.3886764862182055,-27.86637736,14.653717413779663
5.0,41.5,0.1561627132935893,7.214700000000001,4.350251394802165,-27.78133776,14.632376185456677
0.5,2.18,0.2937618082733015,4.2,14.101603080444232,-34.5856,13.333219705459449
1.0,3.11,0.2937618082733015,4.2,14.101603080444232,-34.5856,13.333219705459449
2.0,4.73,0.2937618082733015,4.2,14.101603080444232,-34.5856,13.333219705459449
3.0,6.26,0.2937618082733015,4.2,14.101603080444232,-34.5856,13.333219705459449
4.0,7.64,0.2937618082733015,4.2,14.101603080444232,-34.5856,13.333219705459449
5.0,8.8,0.2937618082733015,4.2,14.101603080444232,-34.5856,13.333219705459449
0.5,0.8,0.4322222526072669,2.379,55.35232330544859,-46.46056799999999,11.428104904528285
1.0,2.3,0.4322222526072669,2.379,55.35232330544859,-46.46056799999999,11.428104904528285
2.0,5.6,0.4322222526072669,2.379,55.35232330544859,-46.46056799999999,11.428104904528285
3.0,8.7,0.4322222526072669,2.379,55.35232330544859,-46.46056799999999,11.428104904528285
4.0,11.2,0.4322222526072669,2.379,55.35232330544859,-46.46056799999999,11.428104904528285
5.0,13.6,0.4322222526072669,2.379,55.35232330544859,-46.46056799999999,11.428104904528285
1.5,0.115,0.1322328336071646,9.0696,3.1046090915613123,2.1435828000000003,13.37120502242268
1.5,0.094,0.1334026364956854,9.0486,3.1325782616663336,1.99827936,13.37583627128567
1.5,0.1,0.1345656165787991,9.029,3.160106011806786,1.85256376,13.379427654051698
1.5,0.084,0.1356725984677819,9.008,3.18711129653619,1.7052056000000004,13.379845134282055
1.5,0.081,0.1367729710140128,8.9876,3.2138647421335977,1.55658504,13.378630086372633
1.5,0.105,0.1335043848806655,9.0651,3.126313469066754,2.06758364,13.370813253256705
1.5,0.071,0.134747850313094,9.0596,3.14753556178589,1.99199144,13.367939611594524
2.5,7.3,0.1582829281797869,6.889500000000001,4.942517779660092,-31.788450000000005,13.301744227599796
2.5,7.47,0.1572454679283316,6.8899,5.017280865911683,-32.30279298,13.29562217569016
2.5,13.0,0.1567922838790225,6.8899,5.048771003847606,-32.514662980000004,13.2885406119359
0.3,2.4,0.0712460525222274,8.7,0.3190386801263031,-2.5200000000000005,10.923873068981097
0.3,1.86,0.1019264440662971,8.799999999999999,2.502345243896372,-2.64,10.923873068981097
0.3,2.24,0.088106469682992,8.75,1.8356290138811369,-2.56,11.500190292257662
2.0,0.34,0.0946339533994009,8.3208,0.3025107344440896,-3.64845056,11.515959845855614
2.0,0.36,0.0919949889885313,8.6518,0.8689946326050682,0.91929284,13.202015347435882
2.0,0.34,0.0892164782481352,8.91,1.0657580313751367,3.678300440000001,13.36352082642594
2.0,0.4,0.0835767773427523,9.0186,1.0828661416753007,3.92539364,13.30231470977151
5.0,22.83,0.1827711602002426,6.7882,4.053096017323374,-28.05587372,12.8918289676076
5.0,0.38,0.1097708901704959,8.4051,4.518716977138765,-4.98852372,14.214690905466377
5.0,0.53,0.1097708901704959,8.4051,4.518716977138765,-4.98852372,14.214690905466377
1.0,0.17,0.0938926332360532,8.916400000000001,2.0237739028936352,0.1721465599999995,13.269739249475256
5.0,0.75,0.0938926332360532,8.916400000000001,2.0237739028936352,0.1721465599999995,13.269739249475256
5.0,6.2,0.1702615632294018,3.3288,8.399781974699854,-8.284718,16.43129223037101
5.0,7.3,0.2185643922805432,3.7044000000000006,10.126842394132812,-10.6118208,16.760794478603767
5.0,7.43,0.0552245655120979,3.0,0.9527104341737668,0.0,11.523624543570987
5.0,6.83,0.0614834158157921,2.9997000000000003,2.358405118848653,0.14994,13.364035941292236
5.0,6.38,0.0597152455332103,3.0003,2.2383925976303765,0.121094,14.738790067070438
5.0,9.03,0.0654330084019716,2.9990999999999994,2.063845534516175,0.243022,12.774372391008434
5.0,9.23,0.0654330084019716,2.9990999999999994,2.063845534516175,0.243022,12.774372391008434
5.0,7.86,0.0654330084019716,2.9990999999999994,2.063845534516175,0.243022,12.774372391008434
5.0,8.56,0.0654330084019716,2.9990999999999994,2.063845534516175,0.243022,12.774372391008434
2.0,4.1,0.2778189894811103,6.8366,18.179310309611505,-8.123579600000001,6.337492845127867
2.0,2.6,0.2800738738434044,6.9719,18.13641543376212,-9.8888312,8.176613146402376
2.0,2.4,0.2788617762248085,6.882099999999999,18.16417250687085,-8.976287000000001,7.840444272976105
0.5,0.77,0.1835340567851099,6.930000000000001,4.503606113067868,-31.002600000000005,12.09060290108072
1.0,1.44,0.1835340567851099,6.930000000000001,4.503606113067868,-31.002600000000005,12.09060290108072
1.5,2.0,0.1835340567851099,6.930000000000001,4.503606113067868,-31.002600000000005,12.09060290108072
2.0,2.49,0.1835340567851099,6.930000000000001,4.503606113067868,-31.002600000000005,12.09060290108072
1.5,0.8,0.1174904251417961,7.85,11.649958302957538,-21.530000000000005,3.719127899711529
2.0,0.98,0.1174904251417961,7.85,11.649958302957538,-21.530000000000005,3.719127899711529
5.0,1.88,0.1174904251417961,7.85,11.649958302957538,-21.530000000000005,3.719127899711529
5.0,5.4,0.0525102764171747,3.0003,1.0145025257067029,0.0,13.195046843415678
4.0,3.88,0.0525102764171747,3.0003,1.0145025257067029,0.0,13.195046843415678
3.0,2.34,0.0525102764171747,3.0003,1.0145025257067029,0.0,13.195046843415678
2.0,1.11,0.0525102764171747,3.0003,1.0145025257067029,0.0,13.195046843415678
2.0,1.59,0.1307157083138824,7.114000000000001,5.761551295427342,-20.671728,12.967881575513657
2.0,0.65,0.1307157083138824,7.114000000000001,5.761551295427342,-20.671728,12.967881575513657
0.82,0.458,0.139095927058584,7.24198,4.920542602925307,-5.822618664,11.838911295971515
2.5,7.3,0.1584459433844867,6.889000000000001,4.946073844702334,-31.8031095,13.302150530159356
2.0,5.3,0.1584459433844867,6.889000000000001,4.946073844702334,-31.8031095,13.302150530159356
1.5,3.5,0.1584459433844867,6.889000000000001,4.946073844702334,-31.8031095,13.302150530159356
1.0,1.68,0.1584459433844867,6.889000000000001,4.946073844702334,-31.8031095,13.302150530159356
0.75,0.75,0.1584459433844867,6.889000000000001,4.946073844702334,-31.8031095,13.302150530159356
0.62,0.38,0.1522059279830029,7.6331,4.620347966253653,-7.411913679999999,13.43420055475163
5.0,8.5,0.2994629106650772,4.238,14.43090649019446,-34.09173504,11.611517682040548
5.0,8.7,0.2811132156267293,4.760000000000001,12.826244386650329,-28.496,13.3483578700181
5.0,8.9,0.2980883090629352,4.2,14.297355567103924,-34.630399999999995,11.258477701663807
5.0,5.9,0.274510181960524,3.95,14.02181594832556,-25.0116,13.318615874747104
5.0,8.0,0.3007738104556312,4.276,14.560882034309566,-33.556956160000006,11.848454354994862
2.0,0.38,0.0995079011938248,8.169,0.2985076954317955,-3.901308,11.510545965471747
2.0,0.37,0.0986471428070777,8.1951,0.2996903546099921,-3.85488828,11.519035115517733
2.0,0.35,0.0944310477756124,8.3076,0.3045719605862321,-3.62939328,11.518024946591105
2.0,0.36,0.0977116356633128,8.222100000000001,0.3008936813488584,-3.80453148,11.524442325007476
2.0,0.35,0.0946339533994009,8.3208,0.3025107344440896,-3.64845056,11.515959845855614
2.0,0.35,0.0956624983993205,8.277000000000001,0.3032783540709192,-3.694812,11.524533857996587
2.0,0.38,0.0944310477756124,8.3076,0.3045719605862321,-3.62939328,11.518024946591105
2.0,0.28,0.1040100665235206,8.1861,4.512617576679155,-8.726957239999997,12.531046271477068
2.0,0.37,0.0930539628387743,8.34,0.305914371392437,-3.5568,11.50581750714339
2.0,0.4,0.129582736751467,8.352899999999998,2.422986238361144,-4.428816600000001,12.708156896619624
2.0,1.0,0.1174904251417961,7.85,11.649958302957538,-21.530000000000005,13.719127899711529
2.0,0.55,0.114049399823059,7.3508,5.706817365872649,-11.39385056,12.95578274322986
2.0,0.4,0.1071234776626822,7.646,5.022818341427082,-9.3354826,12.81330027856866
2.0,0.75,0.1275677325972363,7.194,5.609499465599328,-19.068928,12.791378566341296
2.0,0.9,0.1275677325972363,7.194,5.609499465599328,-19.068928,12.791378566341296
0.5,0.18,0.0797464124073798,8.385,0.3399483341407857,-2.69316848,11.000883229837363
1.0,0.32,0.0797464124073798,8.385,0.3399483341407857,-2.69316848,11.000883229837363
2.0,0.56,0.0797464124073798,8.385,0.3399483341407857,-2.69316848,11.000883229837363
0.5,0.12,0.1071234776626822,7.646,5.022818341427082,-9.3354826,12.81330027856866
1.0,0.22,0.1071234776626822,7.646,5.022818341427082,-9.3354826,12.81330027856866
2.0,0.4,0.1071234776626822,7.646,5.022818341427082,-9.3354826,12.81330027856866
0.5,0.16,0.114049399823059,7.3508,5.706817365872649,-11.39385056,12.95578274322986
1.0,0.28,0.114049399823059,7.3508,5.706817365872649,-11.39385056,12.95578274322986
2.0,0.5,0.114049399823059,7.3508,5.706817365872649,-11.39385056,12.95578274322986
2.0,0.623,0.1200006666648148,6.42,5.774063858123162,-10.0544,13.229680661928445
5.0,1.156,0.1200006666648148,6.42,5.774063858123162,-10.0544,13.229680661928445
2.0,0.649,0.1207259292778481,6.44,5.7792558888957855,-10.063600000000005,13.247830271378616
5.0,1.315,0.1207259292778481,6.44,5.7792558888957855,-10.063600000000005,13.247830271378616
2.0,0.686,0.1214230620598904,6.460000000000001,5.784438006281253,-10.072,13.258692409978858
5.0,1.361,0.1214230620598904,6.460000000000001,5.784438006281253,-10.072,13.258692409978858
2.0,0.662,0.1220925468650727,6.48,5.789610234850571,-10.0796,13.262308549782333
5.0,1.306,0.1220925468650727,6.48,5.789610234850571,-10.0796,13.262308549782333
2.0,2.1,0.1741325931582022,6.860000000000001,4.14070372309715,-29.7482,12.568480313444276
0.5,0.48,0.1741325931582022,6.860000000000001,4.14070372309715,-29.7482,12.568480313444276
1.0,1.06,0.1741325931582022,6.860000000000001,4.14070372309715,-29.7482,12.568480313444276
1.5,1.6,0.1741325931582022,6.860000000000001,4.14070372309715,-29.7482,12.568480313444276
2.0,3.6,0.1796055678424251,6.9,4.361604250270622,-30.4554,12.36579818157664
0.5,1.04,0.1796055678424251,6.9,4.361604250270622,-30.4554,12.36579818157664
1.0,2.02,0.1796055678424251,6.9,4.361604250270622,-30.4554,12.36579818157664
1.5,2.87,0.1796055678424251,6.9,4.361604250270622,-30.4554,12.36579818157664
2.0,0.531,0.1207012427442236,6.4350000000000005,5.773465048522158,-10.127600000000005,13.254279663616156
5.0,1.135,0.1207012427442236,6.4350000000000005,5.773465048522158,-10.127600000000005,13.254279663616156
2.0,0.591,0.1220605997035898,6.465,5.772266991631865,-10.2716,13.29676211879624
5.0,1.151,0.1220605997035898,6.465,5.772266991631865,-10.2716,13.29676211879624
2.0,0.57,0.123365756999258,6.495,5.771068350881405,-10.412400000000002,13.330482036568007
5.0,1.096,0.123365756999258,6.495,5.771068350881405,-10.412400000000002,13.330482036568007
5.0,10.6,0.2919763004080982,4.82,14.534290831626803,-37.2368,11.467081724614138
5.0,10.2,0.2935251266927586,4.82,14.869671140400088,-39.150400000000005,13.287551130951416
5.0,9.2,0.2967477716849783,4.82,15.02092058458308,-39.071200000000005,14.5791947303076
5.0,0.74,0.0946339533994009,8.3208,0.3025107344440896,-3.64845056,11.515959845855614
5.0,0.7,0.0962098221038496,8.324,0.577995610997872,-3.673926320000001,11.624373588571848
5.0,0.72,0.1038055237017761,8.3443,1.2434647615163537,-3.80755872,11.967226654968036
5.0,0.73,0.112002030645986,8.370999999999999,1.7177343953982185,-3.96347804,12.25685103199398
5.0,0.76,0.1251972870671645,8.4156,2.329794628319539,-4.23215568,12.643061249378302
5.0,0.89,0.1459601862087655,8.497,3.138935004230777,-4.697357760000001,13.102652782280863
5.0,0.86,0.1703036712581382,8.641300000000001,3.9735583069009865,-5.299467719999999,13.371108428492404
7.0,0.674,0.1113454248667828,7.7513,4.528231810566604,-8.91372028,13.111267677071908
2.0,0.277,0.1040127726364944,8.1871,4.512167790692017,-8.728344759999999,12.531101952259172
0.56,0.068,0.1551249373790016,7.731,4.604131954387893,-7.589889119999999,13.318356532545849
0.56,0.098,0.1547907154174564,7.686199999999999,4.684758527180842,-8.006010799999999,13.398172320357403
0.56,0.167,0.1531494894099078,7.4834,5.034113563719657,-10.0199018,13.713998472907427
0.56,0.154,0.1528355750318988,7.450000000000001,5.089502757059114,-10.38117436,13.763821732963333
